Issue Type,Issue key,Status,Labels,Status Last Changed,Desired Ship Date,Priority
MakeIDB,MFG-157333,Ready for Print File Setup,reorder,27/Jan/22 12:34 PM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157332,Open,reorder,27/Jan/22 12:34 PM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157306,Ready for Print File Setup,reorder,27/Jan/22 12:11 PM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157305,Open,reorder,27/Jan/22 12:11 PM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157301,Ready for Print File Setup,reorder,27/Jan/22 12:11 PM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157300,Open,reorder,27/Jan/22 12:11 PM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157268,Ready for Print File Setup,reorder,27/Jan/22 11:56 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157267,Open,reorder,27/Jan/22 11:56 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157263,Ready for Print File Setup,reorder,27/Jan/22 11:54 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157262,Open,reorder,27/Jan/22 11:54 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157258,Ready for Print File Setup,reorder,27/Jan/22 11:50 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157257,Open,reorder,27/Jan/22 11:50 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157245,Ready for Print File Setup,reorder,27/Jan/22 11:46 AM,07/Feb/22 12:00 AM,Highest
MakeBrackets,MFG-157244,Open,reorder,27/Jan/22 11:46 AM,07/Feb/22 12:00 AM,Highest
MakeIDB,MFG-157226,Ready for Print File Setup,reorder,27/Jan/22 11:42 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157225,Open,reorder,27/Jan/22 11:42 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157214,Backlog,mixed_dentition,27/Jan/22 11:38 AM,03/Mar/22 12:00 AM,Medium
MakeBrackets,MFG-157213,Backlog,mixed_dentition,27/Jan/22 11:38 AM,03/Mar/22 12:00 AM,Medium
MakeIDB,MFG-157207,Ready for Print File Setup,reorder,27/Jan/22 11:39 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157206,Open,reorder,27/Jan/22 11:39 AM,07/Feb/22 12:00 AM,Medium
MakeIDB,MFG-157202,Ready for Print File Setup,reorder,27/Jan/22 11:39 AM,07/Feb/22 12:00 AM,Medium
MakeBrackets,MFG-157201,Open,reorder,27/Jan/22 11:39 AM,07/Feb/22 12:00 AM,Medium
